,_id,threshold_setting,prev_tx_count_in,prev_mass_out,prev_value_in,epoch,epoch_time_stamp,prev_mass_in,prev_value_out,prev_tx_count_out
189,57ff24fd9335c039eb7f1e35,50.0,50,0,18126337551,189,1476338941.390947,0,15250458136,50
190,57ff250c9335c039eb7f1e38,50.0,26,0,18850821851,190,1476338956.393573,0,11283943718,26
191,57ff251b9335c039eb7f1e3a,50.0,34,0,52242588417,191,1476338971.395972,0,8184690657,34
192,57ff252a9335c039eb7f1e3e,50.0,31,0,16967657446,192,1476338986.3970811,0,16755901955,31
193,57ff25399335c039eb7f1e40,50.0,20,0,5266594482,193,1476339001.398535,0,5190326730,20
194,57ff25489335c039eb7f1e43,50.0,40,0,114819825523,194,1476339016.401673,0,112609287369,40
195,57ff25579335c039eb7f1e45,50.0,37,0,11099388400,195,1476339031.404003,0,10804003146,37
196,57ff25669335c039eb7f1e47,50.0,38,0,10168056889,196,1476339046.405173,0,3366293242,38
197,57ff25759335c039eb7f1e49,50.0,32,0,12385423061,197,1476339061.408955,0,7541054804,32
198,57ff25849335c039eb7f1e4b,50.0,95,0,14837843501,198,1476339076.41326,0,14774865772,95
199,57ff25939335c039eb7f1e50,50.0,31,0,37374187465,199,1476339091.414582,0,30945225057,31
200,57ff25a29335c039eb7f1e52,50.0,32,0,11303690343,200,1476339106.4155712,0,10705076804,32
201,57ff25b19335c039eb7f1e54,50.0,31,0,18953222332,201,1476339121.416854,0,897307655,31
202,57ff25c09335c039eb7f1e5a,50.0,38,0,45259356535,202,1476339136.417973,0,45169042579,38
203,57ff25cf9335c039eb7f1e5c,50.0,25,0,18608103330,203,1476339151.420298,0,7393656242,25
204,57ff25de9335c039eb7f1e5e,50.0,30,0,4916175506,204,1476339166.424405,0,4237420758,30
205,57ff25ed9335c039eb7f1e61,50.0,45,0,29586505427,205,1476339181.427856,0,29032472976,45
206,57ff25fc9335c039eb7f1e64,50.0,35,0,19741475153,206,1476339196.4315429,0,18982719038,35
207,57ff260b9335c039eb7f1e68,50.0,34,0,39280965761,207,1476339211.43504,0,38826204757,34
208,57ff261a9335c039eb7f1e6a,50.0,37,0,5747015999,208,1476339226.439102,0,5213576413,37
209,57ff26299335c039eb7f1e6c,50.0,34,0,6421768726,209,1476339241.441288,0,5975621280,34
210,57ff26389335c039eb7f1e6e,50.0,39,0,53187376235,210,1476339256.443413,0,2785204312,39
211,57ff26479335c039eb7f1e71,50.0,27,0,55988116908,211,1476339271.445899,0,55823226273,27
212,57ff26569335c039eb7f1e73,50.0,30,0,4747758881,212,1476339286.449811,0,2180401621,30
213,57ff26659335c039eb7f1e75,50.0,26,0,4142925812,213,1476339301.453201,0,2073479435,26
214,57ff26749335c039eb7f1e77,50.0,31,0,6157487683,214,1476339316.456585,0,5972763355,31
215,57ff26839335c039eb7f1e79,50.0,35,0,8109889381,215,1476339331.460609,0,5031864716,35
216,57ff26929335c039eb7f1e7c,50.0,25,0,18783455360,216,1476339346.461689,0,18770265921,25
217,57ff26a19335c039eb7f1e7e,50.0,32,0,5028551493,217,1476339361.462699,0,4821991861,32
218,57ff26b09335c039eb7f1e80,50.0,31,0,5102176379,218,1476339376.465356,0,3063416899,31
219,57ff26bf9335c039eb7f1e83,50.0,38,0,9926785781,219,1476339391.472724,0,9641028844,38
220,57ff26ce9335c039eb7f1e85,50.0,25,0,8993557110,220,1476339406.4750679,0,8566747092,25
221,57ff26dd9335c039eb7f1e87,50.0,29,0,4205613218,221,1476339421.47664,0,3807031404,29
222,57ff26ec9335c039eb7f1e89,50.0,31,0,4539325951,222,1476339436.480676,0,4173351617,31
223,57ff26fb9335c039eb7f1e8b,50.0,33,0,22821102783,223,1476339451.483629,0,14320523883,33
224,57ff270a9335c039eb7f1e8d,50.0,32,0,57742527292,224,1476339466.486312,0,2838660928,32
225,57ff27199335c039eb7f1e8f,50.0,27,0,3721912348,225,1476339481.4874911,0,3698884282,27
226,57ff27289335c039eb7f1e91,50.0,43,0,10923440503,226,1476339496.4897552,0,9909552294,43
227,57ff27379335c039eb7f1e93,50.0,29,0,5260190250,227,1476339511.492619,0,4757744041,29
